Code_commune;type_maison;type_appartement;type_autres
97419;2525;108;35
61481;58;1;1
97418;3737;1786;28
61482;210;;
61483;1215;2035;21
61484;1747;215;37
97415;13616;5026;139
61485;150;2;3
97414;6931;1744;50
61486;2485;323;27
97417;2145;165;14
61487;182;3;1
97416;9445;5404;107
24455;431;2;6
61488;57;;
97411;9660;19676;193
24454;360;16;4
97410;4265;1896;50
24457;83;1;
97413;4721;1268;45
24456;118;4;4
97412;5412;1050;44
24459;165;4;2
24458;189;5;1
24451;463;19;8
24450;423;14;2
24453;253;5;
24452;184;3;
61491;1889;177;8
24429;176;2;
61492;50;;
61493;53;;
61494;533;139;
61497;649;34;3
61498;71;;
24422;78;2;
61499;75;1;2
24421;167;;1
24424;81;1;1
24423;181;2;
24426;109;1;
24425;275;7;1
24428;379;9;4
24420;116;1;4
61490;151;2;1
24432;474;18;
24434;99;1;2
24437;407;6;1
24436;589;6;3
24438;198;7;3
61400;155;3;3
61401;61;;1
61402;135;;
61404;328;6;
61405;275;;1
61406;179;6;6
61407;355;1;
61411;168;5;2
61412;357;31;1
61413;83;1;
61414;436;49;21
61415;165;8;
61416;41;1;1
61418;290;3;5
61408;255;3;11
61420;53;;3
61421;432;2;1
61422;371;29;3
61423;296;6;
61424;104;1;
61425;88;;4
61426;379;4;2
61427;125;;2
61429;499;32;3
61419;172;;
09009;156;5;1
10009;63;1;
09008;224;3;2
10008;68;;1
09007;45;4;
09006;55;1;
09005;240;6;5
09004;118;8;29
09003;257;16;
09002;294;13;1
09001;42;1;
10003;1818;247;21
10002;124;2;
10005;147;3;8
10004;92;1;2
10007;66;;1
10006;1081;495;4
10010;30;;
10019;189;2;1
10012;162;1;
10011;135;;
10014;70;1;
10013;59;;1
10015;143;;
10018;453;25;1
10017;59;;
09029;230;231;4
09027;105;1;2
09026;144;1;1
09025;79;2;1
09024;221;33;1
09023;223;4;
09022;115;2;
09021;52;5;
09020;102;8;
09019;305;16;3
09018;68;3;
09017;196;8;
09016;144;5;1
09015;417;13;14
09014;187;5;5
09013;40;1;
09012;33;2;
09011;109;2;2
24587;545;25;4
24586;510;11;
24581;486;35;1
24580;244;2;
24582;364;6;2
24585;504;54;5
24584;542;32;4
24565;304;6;5
24564;461;12;
24567;165;2;1
24566;231;2;
24569;131;3;
24568;572;40;8
24560;132;2;
24563;190;14;3
24562;160;3;1
24576;140;2;7
24575;161;5;9
24577;372;44;
24570;31;;
24572;149;3;3
24571;724;232;4
24574;216;9;3
24573;435;29;27
24543;616;19;2
24542;57;;
24545;87;;2
24544;278;7;3
24547;2361;1061;16
24546;34;;
24549;234;3;1
24548;196;1;3
24541;83;;2
24540;918;18;2
24554;365;21;7
24553;917;116;3
24555;470;28;18
24558;501;45;12
24557;2952;1019;6
24559;262;7;1
24550;720;103;2
24552;184;7;2
24551;1324;611;3
61500;84;2;
61501;264;5;1
61502;44;1;1
61503;147;;1
61505;104;1;
61510;120;1;2
61512;58;;1
61507;160;;
61508;1153;859;53
22108;73;1;
22109;229;20;
83061;4031;12865;2312
83060;341;38;2
10120;118;;
71078;82;1;
22101;625;30;4
71079;255;7;1
95046;57;5;
71076;1208;9245;503
22103;532;9;
71077;248;34;
22104;300;4;
71074;255;28;
22105;551;27;2
71075;391;8;
95042;678;116;3
22106;2991;747;7
