Code_commune;surf_moins_30;surf_30_40;surf_40_60;surf_60_80;surf_80_100;surf_100_120;surf_plus_120;surf_hors_res_principale;surf_hors_log_ordinaire
17214;1;1;6;13;54;65;64;18;
91228;1707;802;1779;3192;1905;628;319;1050;
17210;2;7;16;33;44;47;86;130;
91225;22;45;164;233;223;183;507;141;
17211;7;7;16;44;118;72;56;57;
91226;101;155;308;490;795;493;442;224;
54281;1;2;5;32;102;98;136;17;
54280;44;143;415;1078;1073;240;197;426;
54284;1;8;50;133;144;69;54;95;
54283;1;;1;12;28;28;53;12;
54282;1;;3;3;6;20;37;11;
31521;2;1;2;12;39;39;58;69;
80576;1;3;6;20;47;26;20;20;
54288;1;3;4;26;49;51;66;9;
78255;11;31;201;444;446;277;244;213;
31523;16;70;156;191;216;117;127;393;
54286;4;2;50;100;251;156;105;42;
80578;2;6;16;51;96;57;51;33;
31529;1;;4;8;12;12;15;21;
17216;2;2;12;48;126;111;118;49;
80572;6;1;5;27;48;36;41;27;
17217;2;1;4;15;30;30;47;50;
80571;1;8;25;53;63;38;35;19;
17218;26;86;212;402;594;389;348;491;
80570;15;77;290;388;537;219;203;293;
17219;39;98;301;609;931;585;430;1168;
31526;3;76;416;495;976;762;738;207;
17223;3;2;8;16;17;16;21;39;
17224;3;33;80;153;288;208;270;201;
17225;20;41;83;170;291;212;308;3979;
17226;3;6;10;33;128;116;113;59;
91216;58;135;286;411;358;217;208;126;
17221;2;5;7;38;95;97;148;86;
17222;9;19;74;184;350;288;455;98;
91215;12;45;230;822;480;87;41;146;
29209;6;18;94;191;390;474;345;143;
29208;2;5;25;56;121;147;125;97;
29207;19;28;148;351;570;480;409;228;
29206;12;20;76;140;251;309;243;395;
54296;1;5;7;10;31;42;82;3;
54295;3;6;17;57;135;95;87;45;
54294;1;1;2;4;18;21;14;6;
78242;246;263;627;630;416;186;111;237;
29201;6;13;84;106;195;219;232;176;
54298;1;1;2;5;14;9;32;8;
80563;1;1;2;9;12;10;8;10;
78246;3;7;34;53;79;83;125;71;
80569;1;4;10;31;27;25;36;12;
29204;2;7;51;101;202;263;199;70;
29202;6;10;54;108;156;152;98;223;
31518;1;1;5;9;45;54;105;28;
31517;5;21;73;160;302;220;215;121;
91207;58;109;296;562;611;381;300;122;
17227;1;2;3;9;33;20;35;30;
80561;66;118;459;869;741;289;239;414;
17228;13;37;66;178;420;337;387;274;
31513;5;20;15;28;37;42;46;68;
31516;12;15;37;53;163;178;227;46;
42299;3;11;139;284;492;326;263;134;
42293;4;10;29;82;113;113;115;75;
42294;1;2;11;25;72;100;174;34;
42295;1;6;13;26;61;66;48;100;
42289;1;25;66;108;190;179;176;155;
