Date;Code_region;Filiere;Injection_quot
2020-05-10;28;Thermique non renouvelable;0.0
2020-05-10;75;Hydraulique;10398.894
2020-05-10;52;Thermique non renouvelable;0.0
2020-05-10;93;Hydraulique;35463.645
2020-05-11;84;Thermique non renouvelable;0.0
2020-05-11;53;Thermique non renouvelable;0.0
2020-05-11;24;Nucléaire;181077.89
2020-05-11;44;Nucléaire;93475.016
2020-05-11;32;Nucléaire;97870.89
2020-05-11;28;Thermique non renouvelable;0.0
2020-05-11;75;Thermique non renouvelable;0.0
2020-05-11;76;Eolien;592.7055
2020-05-12;53;Thermique non renouvelable;0.0
2020-05-12;24;Eolien;1179.1615
2020-05-12;32;Thermique non renouvelable;0.0
2020-05-13;84;Nucléaire;175654.14
2020-05-13;44;Eolien;420.772
2020-05-13;44;Solaire;368.433
2020-05-13;32;Nucléaire;107533.86
2020-05-13;75;Thermique non renouvelable;0.0
2020-05-13;93;Solaire;309.84
2020-05-14;84;Nucléaire;187281.86
2020-05-14;27;Solaire;282.142
2020-05-14;32;Eolien;1646.817
2020-05-14;28;Nucléaire;123009.82
2020-05-14;28;Thermique non renouvelable;0.0
2020-05-14;75;Solaire;1067.4604
2020-05-14;76;Hydraulique;37557.477
2020-05-14;76;Nucléaire;58020.816
2020-05-15;53;Thermique non renouvelable;0.0
2020-05-15;32;Eolien;1520.8235
2020-05-15;75;Hydraulique;13296.239
2020-05-15;75;Nucléaire;73459.19
2020-05-15;93;Solaire;373.2305
2020-05-16;84;Eolien;170.6985
2020-05-16;32;Nucléaire;97545.81
2020-05-16;76;Eolien;367.916
2020-05-16;76;Eolien;1457.04
2020-05-16;93;Hydraulique;51712.56
2020-05-17;24;Nucléaire;160915.8
2020-05-17;44;Nucléaire;71638.72
2020-05-17;32;Thermique non renouvelable;0.0
2020-05-17;75;Solaire;2516.4365
2020-05-17;93;Hydraulique;46613.2
2020-05-18;84;Thermique non renouvelable;0.0
2020-05-18;76;Eolien;335.659
2020-05-18;52;Thermique non renouvelable;0.0
2020-05-19;53;Thermique non renouvelable;0.0
2020-05-19;44;Nucléaire;133420.88
2020-05-19;28;Thermique non renouvelable;0.0
2020-05-19;76;Eolien;1618.867
2020-05-20;27;Solaire;342.019
2020-05-20;44;Thermique non renouvelable;24093.428
2020-05-20;11;Bioénergies;0.0
2020-05-21;28;Thermique non renouvelable;0.0
2020-05-21;76;Eolien;1013.3075
2020-05-21;76;Hydraulique;35179.984
2020-05-22;84;Hydraulique;80211.15
2020-05-22;24;Eolien;706.298
2020-05-22;28;Thermique non renouvelable;0.0
2020-05-22;76;Nucléaire;53342.15
2020-05-23;52;Thermique non renouvelable;0.0
2020-05-24;75;Hydraulique;4471.4404
2020-05-24;76;Eolien;229.27
2020-05-25;24;Solaire;319.814
2020-05-25;93;Hydraulique;44518.684
2020-05-26;84;Eolien;235.447
2020-05-26;84;Nucléaire;178341.72
2020-05-26;84;Thermique non renouvelable;0.0
2020-05-26;75;Hydraulique;6706.5156
2020-05-26;75;Thermique non renouvelable;0.0
2020-05-26;93;Solaire;588.645
2020-05-27;84;Eolien;155.0775
2020-05-27;44;Eolien;246.076
2020-10-15;84;Nucléaire;234922.83
2020-10-15;27;Hydraulique;714.466
2020-10-15;24;Eolien;817.954
2020-10-15;24;Nucléaire;172026.8
2020-10-15;44;Hydraulique;20093.666
2020-10-15;11;Thermique non renouvelable;0.0
2020-10-15;28;Thermique non renouvelable;14140.334
2020-10-15;75;Hydraulique;11695.289
2020-10-15;75;Nucléaire;136904.52
2020-10-15;75;Solaire;980.2295
2020-10-15;76;Eolien;382.898
2020-10-15;76;Hydraulique;28394.26
2020-10-15;93;Eolien;311.2805
2020-10-16;84;Hydraulique;75484.63
2020-10-16;53;Thermique non renouvelable;1711.61
2020-10-16;44;Solaire;67.9475
