Date;Jour;Zone_A;Zone_B;Zone_C;Nom_vacances
24-05-2012;Jeudi; ; ; ;
25-05-2012;Vendredi; ; ; ;
26-05-2012;Samedi; ; ; ;
27-05-2012;Dimanche; ; ; ;
28-05-2012;Lundi; ; ; ;
29-05-2012;Mardi; ; ; ;
30-05-2012;Mercredi; ; ; ;
31-05-2012;Jeudi; ; ; ;
01-06-2012;Vendredi; ; ; ;
02-06-2012;Samedi; ; ; ;
03-06-2012;Dimanche; ; ; ;
04-06-2012;Lundi; ; ; ;
05-06-2012;Mardi; ; ; ;
06-06-2012;Mercredi; ; ; ;
07-06-2012;Jeudi; ; ; ;
08-06-2012;Vendredi; ; ; ;
09-06-2012;Samedi; ; ; ;
10-06-2012;Dimanche; ; ; ;
11-06-2012;Lundi; ; ; ;
12-06-2012;Mardi; ; ; ;
13-06-2012;Mercredi; ; ; ;
14-06-2012;Jeudi; ; ; ;
15-06-2012;Vendredi; ; ; ;
16-06-2012;Samedi; ; ; ;
17-06-2012;Dimanche; ; ; ;
18-06-2012;Lundi; ; ; ;
19-06-2012;Mardi; ; ; ;
20-06-2012;Mercredi; ; ; ;
21-06-2012;Jeudi; ; ; ;
22-06-2012;Vendredi; ; ; ;
23-06-2012;Samedi; ; ; ;
24-06-2012;Dimanche; ; ; ;
25-06-2012;Lundi; ; ; ;
26-06-2012;Mardi; ; ; ;
27-06-2012;Mercredi; ; ; ;
28-06-2012;Jeudi; ; ; ;
29-06-2012;Vendredi; ; ; ;
30-06-2012;Samedi; ; ; ;
01-07-2012;Dimanche; ; ; ;
02-07-2012;Lundi; ; ; ;
03-07-2012;Mardi; ; ; ;
04-07-2012;Mercredi; ; ; ;
05-07-2012;Jeudi;oui;oui;oui;Été
06-07-2012;Vendredi;oui;oui;oui;Été
07-07-2012;Samedi;oui;oui;oui;Été
08-07-2012;Dimanche;oui;oui;oui;Été
09-07-2012;Lundi;oui;oui;oui;Été
10-07-2012;Mardi;oui;oui;oui;Été
11-07-2012;Mercredi;oui;oui;oui;Été
12-07-2012;Jeudi;oui;oui;oui;Été
13-07-2012;Vendredi;oui;oui;oui;Été
14-07-2012;Samedi;oui;oui;oui;Été
15-07-2012;Dimanche;oui;oui;oui;Été
16-07-2012;Lundi;oui;oui;oui;Été
17-07-2012;Mardi;oui;oui;oui;Été
18-07-2012;Mercredi;oui;oui;oui;Été
19-07-2012;Jeudi;oui;oui;oui;Été
20-07-2012;Vendredi;oui;oui;oui;Été
21-07-2012;Samedi;oui;oui;oui;Été
22-07-2012;Dimanche;oui;oui;oui;Été
